ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"190.61.43.58","elite","AS52468","CO","Ufinet Colombia","191","SOLINGWEB.NET","8080","socks4","5001","1","2024-01-29T01:30:57.232Z","99","5771","5836"
"183.88.36.32","elite","AS45629","TH","Triple T Broadband Public Company Limited","199","Triple T Broadband Public Company Limited","8080","socks5","2418","81","2024-01-29T01:30:57.228Z","93","5410","5805"
"168.253.196.6","elite","AS37276","ZA","VOffice Solutions","197","Smartvillage","5678","socks4","5189","1","2024-01-29T01:30:57.230Z","100","5826","5843"
"200.152.107.104","elite","AS21571","BR","MLS Wireless S/A","198","MLS Projetos de Informatica","1080","socks5","4607","1","2024-01-29T01:30:57.231Z","98","5687","5813"
"159.65.245.126","elite","AS14061","US","DigitalOcean, LLC","85","Digital Ocean","7497","socks5","1998","1","2024-01-29T01:30:54.128Z","99","5789","5870"
"178.253.208.146","elite","AS9125","RS","Orion Telekom users in Kraljevo","46","N/A","1080","socks4","799","1","2024-01-29T01:30:54.127Z","100","5670","5691"
"190.0.22.34","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","152","EPM Telecomunicaciones S.A. E.S.P","61155","socks4","1215","1","2024-01-29T01:30:50.729Z","99","5845","5894"
"41.160.238.106","elite","AS36937","ZA","Liquid Telecommunications Operations Limited","189","Neotel GAU","5678","socks4","408","1","2024-01-29T01:30:50.730Z","86","5101","5960"
"94.154.31.136","elite","AS197833","PL","Slawomir Zapart trading as ZAPNET KAROL ZAPART Sp.j","38","ZapNet Karol Zapart sj","2114","socks4","2601","1","2024-01-29T01:30:50.828Z","94","5545","5907"
"45.77.39.10","elite","AS20473","SG","The Constant Company","174","Vultr Holdings, LLC","52644","socks4","793","1","2024-01-29T01:30:50.731Z","82","4871","5909"
"203.143.38.249","elite","AS5087","LK","Lanka Communication Services (Pvt) Ltd.","185","Lanka Communication Services (Pvt) Ltd","8080","socks4","3292","1","2024-01-29T01:30:50.727Z","96","5654","5882"
"178.141.249.246","elite","AS8359","RU","MTS PJSC","71","MTS KRV ETH","8081","socks5","3693","1","2024-01-29T01:30:50.830Z","99","5735","5764"
"38.127.172.23","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","11537","socks4","1991","1","2024-01-29T01:30:50.829Z","100","5789","5799"
"182.253.172.111","elite","AS17451","ID","Biznet Metronet","163","N/A","8080","socks4","2783","1","2024-01-29T01:30:50.645Z","95","5654","5943"
"203.13.32.218","elite","AS209242","CY","Cloudflare London, LLC","11","Lachtaristo Holdings Limited","80","socks4","2786","1","2024-01-29T01:30:47.637Z","100","5836","5836"
"103.81.196.128","elite","AS55492","BD","Dhaka Fiber Net Ltd","189","Dhaka Fiber Net Ltd.","5678","socks4","4993","1","2024-01-29T01:30:47.636Z","32","1862","5877"
"178.32.112.229","elite","AS16276","FR","OVH SAS","5","OVH ISP","60289","socks4","5087","1","2024-01-29T01:30:47.730Z","100","5873","5876"
"206.189.9.30","elite","AS14061","NL","DigitalOcean, LLC","15","DigitalOcean, LLC","42331","socks5","929","1","2024-01-29T01:30:47.732Z","100","5822","5824"
"185.32.6.121","elite","AS60645","PL","AS Consulting Sp. z o. o.","38","Data center","4153","socks4","3380","1","2024-01-29T01:30:47.635Z","99","5860","5931"
